se_type,keyword,location_code,language_code,keyword_info,keyword_info_normalized_with_bing,keyword_info_normalized_with_clickstream,clickstream_keyword_info,keyword_properties,serp_info,avg_backlinks_info,search_intent_info,search_volume,cpc,competition,competition_level,monthly_searches,source,seed_term,depth,related_keywords,keyword_se_type,keyword_last_updated_time,keyword_competition,keyword_competition_level,keyword_cpc,keyword_search_volume,keyword_low_top_of_page_bid,keyword_high_top_of_page_bid,keyword_categories,keyword_monthly_searches,keyword_search_volume_trend,keyword_location_code,keyword_language_code,keyword_keyword_info_normalized_with_bing,keyword_keyword_info_normalized_with_clickstream,keyword_clickstream_keyword_info,keyword_keyword_properties,keyword_serp_info,keyword_avg_backlinks_info,keyword_search_intent_info,categories,keyword_difficulty,main_intent,foreign_intent
google,yoo finance,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-28 18:56:55 +00:00', 'competition': None, 'competition_level': 'LOW', 'cpc': 5.83, 'search_volume': 823000, 'low_top_of_page_bid': 1.75, 'high_top_of_page_bid': 5.83, 'categories': [10013, 10103, 10108, 10556, 13691], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 823000}, {'year': 2025, 'month': 5, 'search_volume': 823000}, {'year': 2025, 'month': 4, 'search_volume': 1000000}, {'year': 2025, 'month': 3, 'search_volume': 1000000}, {'year': 2025, 'month': 2, 'search_volume': 823000}, {'year': 2025, 'month': 1, 'search_volume': 823000}, {'year': 2024, 'month': 12, 'search_volume': 823000}, {'year': 2024, 'month': 11, 'search_volume': 823000}, {'year': 2024, 'month': 10, 'search_volume': 823000}, {'year': 2024, 'month': 9, 'search_volume': 823000}, {'year': 2024, 'month': 8, 'search_volume': 823000}, {'year': 2024, 'month': 7, 'search_volume': 823000}], 'search_volume_trend': {'monthly': 0, 'quarterly': -18, 'yearly': 0}}",,,,"{'se_type': 'google', 'core_keyword': None, 'synonym_clustering_algorithm': None, 'keyword_difficulty': None, 'detected_language': 'en', 'is_another_language': False}",,,"{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': ['informational', 'commercial'], 'last_updated_time': '2025-07-28 18:56:58 +00:00'}",823000.0,5.83,,LOW,"[{'year': 2025, 'month': 6, 'search_volume': 823000}, {'year': 2025, 'month': 5, 'search_volume': 823000}, {'year': 2025, 'month': 4, 'search_volume': 1000000}, {'year': 2025, 'month': 3, 'search_volume': 1000000}, {'year': 2025, 'month': 2, 'search_volume': 823000}, {'year': 2025, 'month': 1, 'search_volume': 823000}, {'year': 2024, 'month': 12, 'search_volume': 823000}, {'year': 2024, 'month': 11, 'search_volume': 823000}, {'year': 2024, 'month': 10, 'search_volume': 823000}, {'year': 2024, 'month': 9, 'search_volume': 823000}, {'year': 2024, 'month': 8, 'search_volume': 823000}, {'year': 2024, 'month': 7, 'search_volume': 823000}]",trending_v2,,,,,,,,,,,,,,,,,,,,,,,,"[10013, 10103, 10108, 10556, 13691]",,navigational,"['informational', 'commercial']"
google,m yahoo finance,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-16 22:16:32 +00:00', 'competition': None, 'competition_level': 'LOW', 'cpc': 5.83, 'search_volume': 823000, 'low_top_of_page_bid': 1.75, 'high_top_of_page_bid': 5.83, 'categories': [10012, 10095, 11827, 13459], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 823000}, {'year': 2025, 'month': 5, 'search_volume': 823000}, {'year': 2025, 'month': 4, 'search_volume': 1000000}, {'year': 2025, 'month': 3, 'search_volume': 1000000}, {'year': 2025, 'month': 2, 'search_volume': 823000}, {'year': 2025, 'month': 1, 'search_volume': 823000}, {'year': 2024, 'month': 12, 'search_volume': 823000}, {'year': 2024, 'month': 11, 'search_volume': 823000}, {'year': 2024, 'month': 10, 'search_volume': 823000}, {'year': 2024, 'month': 9, 'search_volume': 823000}, {'year': 2024, 'month': 8, 'search_volume': 823000}, {'year': 2024, 'month': 7, 'search_volume': 823000}], 'search_volume_trend': {'monthly': 0, 'quarterly': -18, 'yearly': 0}}",,,,"{'se_type': 'google', 'core_keyword': None, 'synonym_clustering_algorithm': None, 'keyword_difficulty': 76, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 606649.9, 'dofollow': 460432.7, 'referring_pages': 469380.4, 'referring_domains': 2673.9, 'referring_main_domains': 2471, 'rank': 344.6, 'main_domain_rank': 793, 'last_updated_time': '2024-09-13 01:09:28 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': None, 'last_updated_time': '2023-03-05 08:18:37 +00:00'}",823000.0,5.83,,LOW,"[{'year': 2025, 'month': 6, 'search_volume': 823000}, {'year': 2025, 'month': 5, 'search_volume': 823000}, {'year': 2025, 'month': 4, 'search_volume': 1000000}, {'year': 2025, 'month': 3, 'search_volume': 1000000}, {'year': 2025, 'month': 2, 'search_volume': 823000}, {'year': 2025, 'month': 1, 'search_volume': 823000}, {'year': 2024, 'month': 12, 'search_volume': 823000}, {'year': 2024, 'month': 11, 'search_volume': 823000}, {'year': 2024, 'month': 10, 'search_volume': 823000}, {'year': 2024, 'month': 9, 'search_volume': 823000}, {'year': 2024, 'month': 8, 'search_volume': 823000}, {'year': 2024, 'month': 7, 'search_volume': 823000}]",trending_v2,,,,,,,,,,,,,,,,,,,,,,,,"[10012, 10095, 11827, 13459]",76.0,navigational,
google,yahoo finance comp,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-22 08:32:46 +00:00', 'competition': None, 'competition_level': 'LOW', 'cpc': 5.83, 'search_volume': 823000, 'low_top_of_page_bid': 1.75, 'high_top_of_page_bid': 5.83, 'categories': [10012, 10095, 11827, 13459], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 823000}, {'year': 2025, 'month': 5, 'search_volume': 823000}, {'year': 2025, 'month': 4, 'search_volume': 1000000}, {'year': 2025, 'month': 3, 'search_volume': 1000000}, {'year': 2025, 'month': 2, 'search_volume': 823000}, {'year': 2025, 'month': 1, 'search_volume': 823000}, {'year': 2024, 'month': 12, 'search_volume': 823000}, {'year': 2024, 'month': 11, 'search_volume': 823000}, {'year': 2024, 'month': 10, 'search_volume': 823000}, {'year': 2024, 'month': 9, 'search_volume': 823000}, {'year': 2024, 'month': 8, 'search_volume': 823000}, {'year': 2024, 'month': 7, 'search_volume': 823000}], 'search_volume_trend': {'monthly': 0, 'quarterly': -18, 'yearly': 0}}",,,,"{'se_type': 'google', 'core_keyword': None, 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 20, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 477.9, 'dofollow': 396.6, 'referring_pages': 419.3, 'referring_domains': 53.4, 'referring_main_domains': 48.8, 'rank': 120.4, 'main_domain_rank': 770, 'last_updated_time': '2024-09-13 01:10:17 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': ['informational'], 'last_updated_time': '2023-03-05 11:09:04 +00:00'}",823000.0,5.83,,LOW,"[{'year': 2025, 'month': 6, 'search_volume': 823000}, {'year': 2025, 'month': 5, 'search_volume': 823000}, {'year': 2025, 'month': 4, 'search_volume': 1000000}, {'year': 2025, 'month': 3, 'search_volume': 1000000}, {'year': 2025, 'month': 2, 'search_volume': 823000}, {'year': 2025, 'month': 1, 'search_volume': 823000}, {'year': 2024, 'month': 12, 'search_volume': 823000}, {'year': 2024, 'month': 11, 'search_volume': 823000}, {'year': 2024, 'month': 10, 'search_volume': 823000}, {'year': 2024, 'month': 9, 'search_volume': 823000}, {'year': 2024, 'month': 8, 'search_volume': 823000}, {'year': 2024, 'month': 7, 'search_volume': 823000}]",trending_v2,,,,,,,,,,,,,,,,,,,,,,,,"[10012, 10095, 11827, 13459]",20.0,navigational,['informational']
google,finance yahoo finance,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-09 22:13:39 +00:00', 'competition': None, 'competition_level': 'LOW', 'cpc': 5.83, 'search_volume': 823000, 'low_top_of_page_bid': 1.75, 'high_top_of_page_bid': 5.83, 'categories': [10012, 10098], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 823000}, {'year': 2025, 'month': 5, 'search_volume': 823000}, {'year': 2025, 'month': 4, 'search_volume': 1000000}, {'year': 2025, 'month': 3, 'search_volume': 1000000}, {'year': 2025, 'month': 2, 'search_volume': 823000}, {'year': 2025, 'month': 1, 'search_volume': 823000}, {'year': 2024, 'month': 12, 'search_volume': 823000}, {'year': 2024, 'month': 11, 'search_volume': 823000}, {'year': 2024, 'month': 10, 'search_volume': 823000}, {'year': 2024, 'month': 9, 'search_volume': 823000}, {'year': 2024, 'month': 8, 'search_volume': 823000}, {'year': 2024, 'month': 7, 'search_volume': 823000}], 'search_volume_trend': {'monthly': 0, 'quarterly': -18, 'yearly': 0}}",,,,"{'se_type': 'google', 'core_keyword': 'yahoo finance', 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 69, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 13847.8, 'dofollow': 6608.9, 'referring_pages': 11410.8, 'referring_domains': 867.1, 'referring_main_domains': 850.8, 'rank': 236.6, 'main_domain_rank': 924.4, 'last_updated_time': '2025-06-10 05:29:09 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': None, 'last_updated_time': '2023-03-02 18:19:55 +00:00'}",823000.0,5.83,,LOW,"[{'year': 2025, 'month': 6, 'search_volume': 823000}, {'year': 2025, 'month': 5, 'search_volume': 823000}, {'year': 2025, 'month': 4, 'search_volume': 1000000}, {'year': 2025, 'month': 3, 'search_volume': 1000000}, {'year': 2025, 'month': 2, 'search_volume': 823000}, {'year': 2025, 'month': 1, 'search_volume': 823000}, {'year': 2024, 'month': 12, 'search_volume': 823000}, {'year': 2024, 'month': 11, 'search_volume': 823000}, {'year': 2024, 'month': 10, 'search_volume': 823000}, {'year': 2024, 'month': 9, 'search_volume': 823000}, {'year': 2024, 'month': 8, 'search_volume': 823000}, {'year': 2024, 'month': 7, 'search_volume': 823000}]",trending_v2,,,,,,,,,,,,,,,,,,,,,,,,"[10012, 10098]",69.0,navigational,
google,yahoo finance,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-15 06:41:08 +00:00', 'competition': None, 'competition_level': 'LOW', 'cpc': 5.83, 'search_volume': 823000, 'low_top_of_page_bid': 1.75, 'high_top_of_page_bid': 5.83, 'categories': [10012, 10095, 11827, 13459], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 823000}, {'year': 2025, 'month': 5, 'search_volume': 823000}, {'year': 2025, 'month': 4, 'search_volume': 1000000}, {'year': 2025, 'month': 3, 'search_volume': 1000000}, {'year': 2025, 'month': 2, 'search_volume': 823000}, {'year': 2025, 'month': 1, 'search_volume': 823000}, {'year': 2024, 'month': 12, 'search_volume': 823000}, {'year': 2024, 'month': 11, 'search_volume': 823000}, {'year': 2024, 'month': 10, 'search_volume': 823000}, {'year': 2024, 'month': 9, 'search_volume': 823000}, {'year': 2024, 'month': 8, 'search_volume': 823000}, {'year': 2024, 'month': 7, 'search_volume': 823000}], 'search_volume_trend': {'monthly': 0, 'quarterly': -18, 'yearly': 0}}",,,,"{'se_type': 'google', 'core_keyword': None, 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 67, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 5467.2, 'dofollow': 3212.4, 'referring_pages': 3473.6, 'referring_domains': 626.6, 'referring_main_domains': 618.6, 'rank': 192, 'main_domain_rank': 920.3, 'last_updated_time': '2025-07-10 10:26:02 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': None, 'last_updated_time': '2023-03-05 11:09:04 +00:00'}",823000.0,5.83,,LOW,"[{'year': 2025, 'month': 6, 'search_volume': 823000}, {'year': 2025, 'month': 5, 'search_volume': 823000}, {'year': 2025, 'month': 4, 'search_volume': 1000000}, {'year': 2025, 'month': 3, 'search_volume': 1000000}, {'year': 2025, 'month': 2, 'search_volume': 823000}, {'year': 2025, 'month': 1, 'search_volume': 823000}, {'year': 2024, 'month': 12, 'search_volume': 823000}, {'year': 2024, 'month': 11, 'search_volume': 823000}, {'year': 2024, 'month': 10, 'search_volume': 823000}, {'year': 2024, 'month': 9, 'search_volume': 823000}, {'year': 2024, 'month': 8, 'search_volume': 823000}, {'year': 2024, 'month': 7, 'search_volume': 823000}]",trending_v2,,,,,,,,,,,,,,,,,,,,,,,,"[10012, 10095, 11827, 13459]",67.0,navigational,
google,ww yahoo finance,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-17 22:22:44 +00:00', 'competition': None, 'competition_level': 'LOW', 'cpc': 5.83, 'search_volume': 823000, 'low_top_of_page_bid': 1.75, 'high_top_of_page_bid': 5.83, 'categories': [10011, 10085, 10086, 10457, 10491, 11754], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 823000}, {'year': 2025, 'month': 5, 'search_volume': 823000}, {'year': 2025, 'month': 4, 'search_volume': 1000000}, {'year': 2025, 'month': 3, 'search_volume': 1000000}, {'year': 2025, 'month': 2, 'search_volume': 823000}, {'year': 2025, 'month': 1, 'search_volume': 823000}, {'year': 2024, 'month': 12, 'search_volume': 823000}, {'year': 2024, 'month': 11, 'search_volume': 823000}, {'year': 2024, 'month': 10, 'search_volume': 823000}, {'year': 2024, 'month': 9, 'search_volume': 823000}, {'year': 2024, 'month': 8, 'search_volume': 823000}, {'year': 2024, 'month': 7, 'search_volume': 823000}], 'search_volume_trend': {'monthly': 0, 'quarterly': -18, 'yearly': 0}}",,,,"{'se_type': 'google', 'core_keyword': None, 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 20, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 16440.7, 'dofollow': 10716.4, 'referring_pages': 11032.2, 'referring_domains': 301.3, 'referring_main_domains': 287.7, 'rank': 122.4, 'main_domain_rank': 771, 'last_updated_time': '2024-09-29 17:01:26 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': ['informational'], 'last_updated_time': '2023-03-05 11:00:08 +00:00'}",823000.0,5.83,,LOW,"[{'year': 2025, 'month': 6, 'search_volume': 823000}, {'year': 2025, 'month': 5, 'search_volume': 823000}, {'year': 2025, 'month': 4, 'search_volume': 1000000}, {'year': 2025, 'month': 3, 'search_volume': 1000000}, {'year': 2025, 'month': 2, 'search_volume': 823000}, {'year': 2025, 'month': 1, 'search_volume': 823000}, {'year': 2024, 'month': 12, 'search_volume': 823000}, {'year': 2024, 'month': 11, 'search_volume': 823000}, {'year': 2024, 'month': 10, 'search_volume': 823000}, {'year': 2024, 'month': 9, 'search_volume': 823000}, {'year': 2024, 'month': 8, 'search_volume': 823000}, {'year': 2024, 'month': 7, 'search_volume': 823000}]",trending_v2,,,,,,,,,,,,,,,,,,,,,,,,"[10011, 10085, 10086, 10457, 10491, 11754]",20.0,navigational,['informational']
google,yhoo finance,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-14 06:19:18 +00:00', 'competition': None, 'competition_level': 'LOW', 'cpc': 5.83, 'search_volume': 823000, 'low_top_of_page_bid': 1.75, 'high_top_of_page_bid': 5.83, 'categories': [10012, 10097, 11841, 12957, 13285], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 823000}, {'year': 2025, 'month': 5, 'search_volume': 823000}, {'year': 2025, 'month': 4, 'search_volume': 1000000}, {'year': 2025, 'month': 3, 'search_volume': 1000000}, {'year': 2025, 'month': 2, 'search_volume': 823000}, {'year': 2025, 'month': 1, 'search_volume': 823000}, {'year': 2024, 'month': 12, 'search_volume': 823000}, {'year': 2024, 'month': 11, 'search_volume': 823000}, {'year': 2024, 'month': 10, 'search_volume': 823000}, {'year': 2024, 'month': 9, 'search_volume': 823000}, {'year': 2024, 'month': 8, 'search_volume': 823000}, {'year': 2024, 'month': 7, 'search_volume': 823000}], 'search_volume_trend': {'monthly': 0, 'quarterly': -18, 'yearly': 0}}",,,,"{'se_type': 'google', 'core_keyword': None, 'synonym_clustering_algorithm': None, 'keyword_difficulty': 67, 'detected_language': 'fi', 'is_another_language': True}",,,"{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': ['commercial'], 'last_updated_time': '2024-12-19 13:52:42 +00:00'}",823000.0,5.83,,LOW,"[{'year': 2025, 'month': 6, 'search_volume': 823000}, {'year': 2025, 'month': 5, 'search_volume': 823000}, {'year': 2025, 'month': 4, 'search_volume': 1000000}, {'year': 2025, 'month': 3, 'search_volume': 1000000}, {'year': 2025, 'month': 2, 'search_volume': 823000}, {'year': 2025, 'month': 1, 'search_volume': 823000}, {'year': 2024, 'month': 12, 'search_volume': 823000}, {'year': 2024, 'month': 11, 'search_volume': 823000}, {'year': 2024, 'month': 10, 'search_volume': 823000}, {'year': 2024, 'month': 9, 'search_volume': 823000}, {'year': 2024, 'month': 8, 'search_volume': 823000}, {'year': 2024, 'month': 7, 'search_volume': 823000}]",trending_v2,,,,,,,,,,,,,,,,,,,,,,,,"[10012, 10097, 11841, 12957, 13285]",67.0,navigational,['commercial']
google,yahoo finance site,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-16 23:24:20 +00:00', 'competition': None, 'competition_level': 'LOW', 'cpc': 5.83, 'search_volume': 823000, 'low_top_of_page_bid': 1.75, 'high_top_of_page_bid': 5.83, 'categories': [10012, 10095, 11827, 13459], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 823000}, {'year': 2025, 'month': 5, 'search_volume': 823000}, {'year': 2025, 'month': 4, 'search_volume': 1000000}, {'year': 2025, 'month': 3, 'search_volume': 1000000}, {'year': 2025, 'month': 2, 'search_volume': 823000}, {'year': 2025, 'month': 1, 'search_volume': 823000}, {'year': 2024, 'month': 12, 'search_volume': 823000}, {'year': 2024, 'month': 11, 'search_volume': 823000}, {'year': 2024, 'month': 10, 'search_volume': 823000}, {'year': 2024, 'month': 9, 'search_volume': 823000}, {'year': 2024, 'month': 8, 'search_volume': 823000}, {'year': 2024, 'month': 7, 'search_volume': 823000}], 'search_volume_trend': {'monthly': 0, 'quarterly': -18, 'yearly': 0}}",,,,"{'se_type': 'google', 'core_keyword': None, 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 86, 'detected_language': 'fr', 'is_another_language': True}",,"{'se_type': 'google', 'backlinks': 745466.5, 'dofollow': 540022.4, 'referring_pages': 558157.3, 'referring_domains': 5891.6, 'referring_main_domains': 4755.8, 'rank': 436.7, 'main_domain_rank': 764.5, 'last_updated_time': '2024-09-13 01:09:36 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': None, 'last_updated_time': '2023-03-05 11:09:06 +00:00'}",823000.0,5.83,,LOW,"[{'year': 2025, 'month': 6, 'search_volume': 823000}, {'year': 2025, 'month': 5, 'search_volume': 823000}, {'year': 2025, 'month': 4, 'search_volume': 1000000}, {'year': 2025, 'month': 3, 'search_volume': 1000000}, {'year': 2025, 'month': 2, 'search_volume': 823000}, {'year': 2025, 'month': 1, 'search_volume': 823000}, {'year': 2024, 'month': 12, 'search_volume': 823000}, {'year': 2024, 'month': 11, 'search_volume': 823000}, {'year': 2024, 'month': 10, 'search_volume': 823000}, {'year': 2024, 'month': 9, 'search_volume': 823000}, {'year': 2024, 'month': 8, 'search_volume': 823000}, {'year': 2024, 'month': 7, 'search_volume': 823000}]",trending_v2,,,,,,,,,,,,,,,,,,,,,,,,"[10012, 10095, 11827, 13459]",86.0,navigational,
