se_type,keyword,location_code,language_code,keyword_info,keyword_info_normalized_with_bing,keyword_info_normalized_with_clickstream,clickstream_keyword_info,keyword_properties,serp_info,avg_backlinks_info,search_intent_info,search_volume,cpc,competition,competition_level,monthly_searches,source,seed_term,depth,related_keywords,keyword_se_type,keyword_last_updated_time,keyword_competition,keyword_competition_level,keyword_cpc,keyword_search_volume,keyword_low_top_of_page_bid,keyword_high_top_of_page_bid,keyword_categories,keyword_monthly_searches,keyword_search_volume_trend,keyword_location_code,keyword_language_code,keyword_keyword_info_normalized_with_bing,keyword_keyword_info_normalized_with_clickstream,keyword_clickstream_keyword_info,keyword_keyword_properties,keyword_serp_info,keyword_avg_backlinks_info,keyword_search_intent_info,categories,keyword_difficulty,main_intent,foreign_intent,cluster_id,cluster_name,category_cluster,difficulty_tier,recommended_match_type
google,mortgage payments calculator canada,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-13 20:00:51 +00:00', 'competition': 0.5, 'competition_level': 'MEDIUM', 'cpc': 0.58, 'search_volume': 49500, 'low_top_of_page_bid': 0.12, 'high_top_of_page_bid': 0.57, 'categories': [10012, 10097, 11841, 12960, 13289], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 33100}, {'year': 2025, 'month': 5, 'search_volume': 40500}, {'year': 2025, 'month': 4, 'search_volume': 49500}, {'year': 2025, 'month': 3, 'search_volume': 60500}, {'year': 2025, 'month': 2, 'search_volume': 49500}, {'year': 2025, 'month': 1, 'search_volume': 60500}, {'year': 2024, 'month': 12, 'search_volume': 49500}, {'year': 2024, 'month': 11, 'search_volume': 49500}, {'year': 2024, 'month': 10, 'search_volume': 60500}, {'year': 2024, 'month': 9, 'search_volume': 74000}, {'year': 2024, 'month': 8, 'search_volume': 60500}, {'year': 2024, 'month': 7, 'search_volume': 60500}], 'search_volume_trend': {'monthly': -18, 'quarterly': -33, 'yearly': -45}}",,,,"{'se_type': 'google', 'core_keyword': 'mortgage payment calculator canada', 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 58, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 126835.5, 'dofollow': 62284.7, 'referring_pages': 63107, 'referring_domains': 210.2, 'referring_main_domains': 204, 'rank': 330.3, 'main_domain_rank': 498.8, 'last_updated_time': '2024-12-14 14:22:31 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': ['informational'], 'last_updated_time': '2023-05-15 15:35:19 +00:00'}",49500.0,0.58,0.5,MEDIUM,"[{'year': 2025, 'month': 6, 'search_volume': 33100}, {'year': 2025, 'month': 5, 'search_volume': 40500}, {'year': 2025, 'month': 4, 'search_volume': 49500}, {'year': 2025, 'month': 3, 'search_volume': 60500}, {'year': 2025, 'month': 2, 'search_volume': 49500}, {'year': 2025, 'month': 1, 'search_volume': 60500}, {'year': 2024, 'month': 12, 'search_volume': 49500}, {'year': 2024, 'month': 11, 'search_volume': 49500}, {'year': 2024, 'month': 10, 'search_volume': 60500}, {'year': 2024, 'month': 9, 'search_volume': 74000}, {'year': 2024, 'month': 8, 'search_volume': 60500}, {'year': 2024, 'month': 7, 'search_volume': 60500}]",suggestions_v2_mortgage canada,mortgage canada,,,,,,,,,,,,,,,,,,,,,,,"[10012, 10097, 11841, 12960, 13289]",58.0,navigational,['informational'],2,calculator + mortgage calculator + calculator canada,Uncategorized,Medium,Phrase
google,canada mortgage loan calculator,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-17 14:44:00 +00:00', 'competition': 0.5, 'competition_level': 'MEDIUM', 'cpc': 0.58, 'search_volume': 49500, 'low_top_of_page_bid': 0.12, 'high_top_of_page_bid': 0.57, 'categories': [10003, 10012, 10097, 11841, 12960, 13289], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 33100}, {'year': 2025, 'month': 5, 'search_volume': 40500}, {'year': 2025, 'month': 4, 'search_volume': 49500}, {'year': 2025, 'month': 3, 'search_volume': 60500}, {'year': 2025, 'month': 2, 'search_volume': 49500}, {'year': 2025, 'month': 1, 'search_volume': 60500}, {'year': 2024, 'month': 12, 'search_volume': 49500}, {'year': 2024, 'month': 11, 'search_volume': 49500}, {'year': 2024, 'month': 10, 'search_volume': 60500}, {'year': 2024, 'month': 9, 'search_volume': 74000}, {'year': 2024, 'month': 8, 'search_volume': 60500}, {'year': 2024, 'month': 7, 'search_volume': 60500}], 'search_volume_trend': {'monthly': -18, 'quarterly': -33, 'yearly': -45}}",,,,"{'se_type': 'google', 'core_keyword': 'mortgage loan calculator canada', 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 54, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 30804.8, 'dofollow': 27679.9, 'referring_pages': 28755.3, 'referring_domains': 208, 'referring_main_domains': 202.2, 'rank': 301.1, 'main_domain_rank': 479.1, 'last_updated_time': '2024-10-06 01:56:07 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': ['informational'], 'last_updated_time': '2023-03-03 18:12:44 +00:00'}",49500.0,0.58,0.5,MEDIUM,"[{'year': 2025, 'month': 6, 'search_volume': 33100}, {'year': 2025, 'month': 5, 'search_volume': 40500}, {'year': 2025, 'month': 4, 'search_volume': 49500}, {'year': 2025, 'month': 3, 'search_volume': 60500}, {'year': 2025, 'month': 2, 'search_volume': 49500}, {'year': 2025, 'month': 1, 'search_volume': 60500}, {'year': 2024, 'month': 12, 'search_volume': 49500}, {'year': 2024, 'month': 11, 'search_volume': 49500}, {'year': 2024, 'month': 10, 'search_volume': 60500}, {'year': 2024, 'month': 9, 'search_volume': 74000}, {'year': 2024, 'month': 8, 'search_volume': 60500}, {'year': 2024, 'month': 7, 'search_volume': 60500}]",suggestions_v2_mortgage canada,mortgage canada,,,,,,,,,,,,,,,,,,,,,,,"[10003, 10012, 10097, 11841, 12960, 13289]",54.0,navigational,['informational'],8,loan + mortgage loan + loan insurance,Uncategorized,Medium,Phrase
google,mortgage calculator canada bc,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-09 21:06:24 +00:00', 'competition': 0.65, 'competition_level': 'MEDIUM', 'cpc': 0.53, 'search_volume': 27100, 'low_top_of_page_bid': 0.18, 'high_top_of_page_bid': 0.49, 'categories': [10012, 10097, 11841, 12960, 13289], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 22200}, {'year': 2025, 'month': 5, 'search_volume': 22200}, {'year': 2025, 'month': 4, 'search_volume': 22200}, {'year': 2025, 'month': 3, 'search_volume': 27100}, {'year': 2025, 'month': 2, 'search_volume': 22200}, {'year': 2025, 'month': 1, 'search_volume': 27100}, {'year': 2024, 'month': 12, 'search_volume': 22200}, {'year': 2024, 'month': 11, 'search_volume': 22200}, {'year': 2024, 'month': 10, 'search_volume': 33100}, {'year': 2024, 'month': 9, 'search_volume': 33100}, {'year': 2024, 'month': 8, 'search_volume': 33100}, {'year': 2024, 'month': 7, 'search_volume': 33100}], 'search_volume_trend': {'monthly': 0, 'quarterly': 0, 'yearly': -33}}",,,,"{'se_type': 'google', 'core_keyword': None, 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 51, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 32475.6, 'dofollow': 31873.4, 'referring_pages': 32016, 'referring_domains': 40.7, 'referring_main_domains': 38.5, 'rank': 268.6, 'main_domain_rank': 471.6, 'last_updated_time': '2025-06-30 05:54:55 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': ['informational'], 'last_updated_time': '2023-03-07 02:07:17 +00:00'}",27100.0,0.53,0.65,MEDIUM,"[{'year': 2025, 'month': 6, 'search_volume': 22200}, {'year': 2025, 'month': 5, 'search_volume': 22200}, {'year': 2025, 'month': 4, 'search_volume': 22200}, {'year': 2025, 'month': 3, 'search_volume': 27100}, {'year': 2025, 'month': 2, 'search_volume': 22200}, {'year': 2025, 'month': 1, 'search_volume': 27100}, {'year': 2024, 'month': 12, 'search_volume': 22200}, {'year': 2024, 'month': 11, 'search_volume': 22200}, {'year': 2024, 'month': 10, 'search_volume': 33100}, {'year': 2024, 'month': 9, 'search_volume': 33100}, {'year': 2024, 'month': 8, 'search_volume': 33100}, {'year': 2024, 'month': 7, 'search_volume': 33100}]",suggestions_v2_mortgage canada,mortgage canada,,,,,,,,,,,,,,,,,,,,,,,"[10012, 10097, 11841, 12960, 13289]",51.0,navigational,['informational'],2,calculator + mortgage calculator + calculator canada,Uncategorized,Medium,Phrase
google,mortgage calculator bc canada,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-22 08:04:34 +00:00', 'competition': 0.65, 'competition_level': 'MEDIUM', 'cpc': 0.53, 'search_volume': 27100, 'low_top_of_page_bid': 0.18, 'high_top_of_page_bid': 0.49, 'categories': [10012, 10097, 11841, 12960, 13289, 13294], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 22200}, {'year': 2025, 'month': 5, 'search_volume': 22200}, {'year': 2025, 'month': 4, 'search_volume': 22200}, {'year': 2025, 'month': 3, 'search_volume': 27100}, {'year': 2025, 'month': 2, 'search_volume': 22200}, {'year': 2025, 'month': 1, 'search_volume': 27100}, {'year': 2024, 'month': 12, 'search_volume': 22200}, {'year': 2024, 'month': 11, 'search_volume': 22200}, {'year': 2024, 'month': 10, 'search_volume': 33100}, {'year': 2024, 'month': 9, 'search_volume': 33100}, {'year': 2024, 'month': 8, 'search_volume': 33100}, {'year': 2024, 'month': 7, 'search_volume': 33100}], 'search_volume_trend': {'monthly': 0, 'quarterly': 0, 'yearly': -33}}",,,,"{'se_type': 'google', 'core_keyword': 'mortgage calculator canada bc', 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 54, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 31318.5, 'dofollow': 31122.1, 'referring_pages': 31273.7, 'referring_domains': 45.3, 'referring_main_domains': 43.2, 'rank': 270.6, 'main_domain_rank': 483, 'last_updated_time': '2025-03-09 17:09:02 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': ['informational'], 'last_updated_time': '2023-03-07 02:07:17 +00:00'}",27100.0,0.53,0.65,MEDIUM,"[{'year': 2025, 'month': 6, 'search_volume': 22200}, {'year': 2025, 'month': 5, 'search_volume': 22200}, {'year': 2025, 'month': 4, 'search_volume': 22200}, {'year': 2025, 'month': 3, 'search_volume': 27100}, {'year': 2025, 'month': 2, 'search_volume': 22200}, {'year': 2025, 'month': 1, 'search_volume': 27100}, {'year': 2024, 'month': 12, 'search_volume': 22200}, {'year': 2024, 'month': 11, 'search_volume': 22200}, {'year': 2024, 'month': 10, 'search_volume': 33100}, {'year': 2024, 'month': 9, 'search_volume': 33100}, {'year': 2024, 'month': 8, 'search_volume': 33100}, {'year': 2024, 'month': 7, 'search_volume': 33100}]",suggestions_v2_mortgage canada,mortgage canada,,,,,,,,,,,,,,,,,,,,,,,"[10012, 10097, 11841, 12960, 13289, 13294]",54.0,navigational,['informational'],2,calculator + mortgage calculator + calculator canada,Uncategorized,Medium,Phrase
google,mortgage calculator canada ratehub,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-22 14:53:00 +00:00', 'competition': 0.02, 'competition_level': 'LOW', 'cpc': 1.73, 'search_volume': 14800, 'low_top_of_page_bid': 0.39, 'high_top_of_page_bid': 2.52, 'categories': [10012, 10097, 11841, 12960, 13289, 13294], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 12100}, {'year': 2025, 'month': 5, 'search_volume': 14800}, {'year': 2025, 'month': 4, 'search_volume': 14800}, {'year': 2025, 'month': 3, 'search_volume': 18100}, {'year': 2025, 'month': 2, 'search_volume': 14800}, {'year': 2025, 'month': 1, 'search_volume': 14800}, {'year': 2024, 'month': 12, 'search_volume': 12100}, {'year': 2024, 'month': 11, 'search_volume': 14800}, {'year': 2024, 'month': 10, 'search_volume': 18100}, {'year': 2024, 'month': 9, 'search_volume': 18100}, {'year': 2024, 'month': 8, 'search_volume': 14800}, {'year': 2024, 'month': 7, 'search_volume': 14800}], 'search_volume_trend': {'monthly': -18, 'quarterly': -18, 'yearly': -33}}",,,,"{'se_type': 'google', 'core_keyword': None, 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 43, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 5024.8, 'dofollow': 3891.7, 'referring_pages': 4572.3, 'referring_domains': 190.2, 'referring_main_domains': 186.9, 'rank': 234.3, 'main_domain_rank': 554.2, 'last_updated_time': '2024-09-13 01:51:37 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': ['informational'], 'last_updated_time': '2023-03-07 02:07:17 +00:00'}",14800.0,1.73,0.02,LOW,"[{'year': 2025, 'month': 6, 'search_volume': 12100}, {'year': 2025, 'month': 5, 'search_volume': 14800}, {'year': 2025, 'month': 4, 'search_volume': 14800}, {'year': 2025, 'month': 3, 'search_volume': 18100}, {'year': 2025, 'month': 2, 'search_volume': 14800}, {'year': 2025, 'month': 1, 'search_volume': 14800}, {'year': 2024, 'month': 12, 'search_volume': 12100}, {'year': 2024, 'month': 11, 'search_volume': 14800}, {'year': 2024, 'month': 10, 'search_volume': 18100}, {'year': 2024, 'month': 9, 'search_volume': 18100}, {'year': 2024, 'month': 8, 'search_volume': 14800}, {'year': 2024, 'month': 7, 'search_volume': 14800}]",suggestions_v2_mortgage canada,mortgage canada,,,,,,,,,,,,,,,,,,,,,,,"[10012, 10097, 11841, 12960, 13289, 13294]",43.0,navigational,['informational'],2,calculator + mortgage calculator + calculator canada,Uncategorized,Medium,Phrase
google,best mortgage deals in canada,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-09 23:09:43 +00:00', 'competition': 0.69, 'competition_level': 'HIGH', 'cpc': 2.52, 'search_volume': 12100, 'low_top_of_page_bid': 0.83, 'high_top_of_page_bid': 3.04, 'categories': [10012, 10097, 11841, 12960, 13299], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 9900}, {'year': 2025, 'month': 5, 'search_volume': 12100}, {'year': 2025, 'month': 4, 'search_volume': 12100}, {'year': 2025, 'month': 3, 'search_volume': 18100}, {'year': 2025, 'month': 2, 'search_volume': 12100}, {'year': 2025, 'month': 1, 'search_volume': 14800}, {'year': 2024, 'month': 12, 'search_volume': 12100}, {'year': 2024, 'month': 11, 'search_volume': 9900}, {'year': 2024, 'month': 10, 'search_volume': 12100}, {'year': 2024, 'month': 9, 'search_volume': 12100}, {'year': 2024, 'month': 8, 'search_volume': 9900}, {'year': 2024, 'month': 7, 'search_volume': 9900}], 'search_volume_trend': {'monthly': -18, 'quarterly': -18, 'yearly': -18}}",,,,"{'se_type': 'google', 'core_keyword': None, 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 60, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 16737.7, 'dofollow': 14079.3, 'referring_pages': 14202.9, 'referring_domains': 546.2, 'referring_main_domains': 497.5, 'rank': 344.9, 'main_domain_rank': 452.7, 'last_updated_time': '2025-07-10 11:47:11 +00:00'}","{'se_type': 'google', 'main_intent': 'commercial', 'foreign_intent': None, 'last_updated_time': '2024-06-21 06:08:24 +00:00'}",12100.0,2.52,0.69,HIGH,"[{'year': 2025, 'month': 6, 'search_volume': 9900}, {'year': 2025, 'month': 5, 'search_volume': 12100}, {'year': 2025, 'month': 4, 'search_volume': 12100}, {'year': 2025, 'month': 3, 'search_volume': 18100}, {'year': 2025, 'month': 2, 'search_volume': 12100}, {'year': 2025, 'month': 1, 'search_volume': 14800}, {'year': 2024, 'month': 12, 'search_volume': 12100}, {'year': 2024, 'month': 11, 'search_volume': 9900}, {'year': 2024, 'month': 10, 'search_volume': 12100}, {'year': 2024, 'month': 9, 'search_volume': 12100}, {'year': 2024, 'month': 8, 'search_volume': 9900}, {'year': 2024, 'month': 7, 'search_volume': 9900}]",suggestions_v2_mortgage canada,mortgage canada,,,,,,,,,,,,,,,,,,,,,,,"[10012, 10097, 11841, 12960, 13299]",60.0,commercial,,12,deals + mortgage deals + deals canada,Uncategorized,Medium,Phrase
google,best mortgage deals canada,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-17 09:02:35 +00:00', 'competition': 0.69, 'competition_level': 'HIGH', 'cpc': 2.52, 'search_volume': 12100, 'low_top_of_page_bid': 0.83, 'high_top_of_page_bid': 3.04, 'categories': [10003, 10012, 10097, 11841, 12960, 13290, 13299], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 9900}, {'year': 2025, 'month': 5, 'search_volume': 12100}, {'year': 2025, 'month': 4, 'search_volume': 12100}, {'year': 2025, 'month': 3, 'search_volume': 18100}, {'year': 2025, 'month': 2, 'search_volume': 12100}, {'year': 2025, 'month': 1, 'search_volume': 14800}, {'year': 2024, 'month': 12, 'search_volume': 12100}, {'year': 2024, 'month': 11, 'search_volume': 9900}, {'year': 2024, 'month': 10, 'search_volume': 12100}, {'year': 2024, 'month': 9, 'search_volume': 12100}, {'year': 2024, 'month': 8, 'search_volume': 9900}, {'year': 2024, 'month': 7, 'search_volume': 9900}], 'search_volume_trend': {'monthly': -18, 'quarterly': -18, 'yearly': -18}}",,,,"{'se_type': 'google', 'core_keyword': 'best mortgage deals in canada', 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 44, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 3743.7, 'dofollow': 1949.3, 'referring_pages': 2049.5, 'referring_domains': 191, 'referring_main_domains': 186, 'rank': 268.1, 'main_domain_rank': 459.7, 'last_updated_time': '2024-09-14 01:16:33 +00:00'}","{'se_type': 'google', 'main_intent': 'commercial', 'foreign_intent': ['informational'], 'last_updated_time': '2023-03-05 14:13:26 +00:00'}",12100.0,2.52,0.69,HIGH,"[{'year': 2025, 'month': 6, 'search_volume': 9900}, {'year': 2025, 'month': 5, 'search_volume': 12100}, {'year': 2025, 'month': 4, 'search_volume': 12100}, {'year': 2025, 'month': 3, 'search_volume': 18100}, {'year': 2025, 'month': 2, 'search_volume': 12100}, {'year': 2025, 'month': 1, 'search_volume': 14800}, {'year': 2024, 'month': 12, 'search_volume': 12100}, {'year': 2024, 'month': 11, 'search_volume': 9900}, {'year': 2024, 'month': 10, 'search_volume': 12100}, {'year': 2024, 'month': 9, 'search_volume': 12100}, {'year': 2024, 'month': 8, 'search_volume': 9900}, {'year': 2024, 'month': 7, 'search_volume': 9900}]",suggestions_v2_mortgage canada,mortgage canada,,,,,,,,,,,,,,,,,,,,,,,"[10003, 10012, 10097, 11841, 12960, 13290, 13299]",44.0,commercial,['informational'],12,deals + mortgage deals + deals canada,Uncategorized,Medium,Phrase
google,royal bank of canada mortgage,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-18 05:35:33 +00:00', 'competition': 0.59, 'competition_level': 'MEDIUM', 'cpc': 5.92, 'search_volume': 9900, 'low_top_of_page_bid': 2.25, 'high_top_of_page_bid': 8.5, 'categories': [10012, 10097, 11841, 12960], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 9900}, {'year': 2025, 'month': 5, 'search_volume': 9900}, {'year': 2025, 'month': 4, 'search_volume': 9900}, {'year': 2025, 'month': 3, 'search_volume': 12100}, {'year': 2025, 'month': 2, 'search_volume': 8100}, {'year': 2025, 'month': 1, 'search_volume': 9900}, {'year': 2024, 'month': 12, 'search_volume': 8100}, {'year': 2024, 'month': 11, 'search_volume': 8100}, {'year': 2024, 'month': 10, 'search_volume': 9900}, {'year': 2024, 'month': 9, 'search_volume': 9900}, {'year': 2024, 'month': 8, 'search_volume': 9900}, {'year': 2024, 'month': 7, 'search_volume': 9900}], 'search_volume_trend': {'monthly': 0, 'quarterly': 0, 'yearly': 0}}",,,,"{'se_type': 'google', 'core_keyword': 'royal bank canada mortgage', 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 37, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 3618.6, 'dofollow': 2767.3, 'referring_pages': 3430.9, 'referring_domains': 203.2, 'referring_main_domains': 185.4, 'rank': 227.3, 'main_domain_rank': 473.3, 'last_updated_time': '2024-09-30 15:53:49 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': None, 'last_updated_time': '2023-03-03 18:01:25 +00:00'}",9900.0,5.92,0.59,MEDIUM,"[{'year': 2025, 'month': 6, 'search_volume': 9900}, {'year': 2025, 'month': 5, 'search_volume': 9900}, {'year': 2025, 'month': 4, 'search_volume': 9900}, {'year': 2025, 'month': 3, 'search_volume': 12100}, {'year': 2025, 'month': 2, 'search_volume': 8100}, {'year': 2025, 'month': 1, 'search_volume': 9900}, {'year': 2024, 'month': 12, 'search_volume': 8100}, {'year': 2024, 'month': 11, 'search_volume': 8100}, {'year': 2024, 'month': 10, 'search_volume': 9900}, {'year': 2024, 'month': 9, 'search_volume': 9900}, {'year': 2024, 'month': 8, 'search_volume': 9900}, {'year': 2024, 'month': 7, 'search_volume': 9900}]",suggestions_v2_mortgage canada,mortgage canada,,,,,,,,,,,,,,,,,,,,,,,"[10012, 10097, 11841, 12960]",37.0,navigational,,1,bank + companies + mortgage companies,Uncategorized,Medium,Phrase
google,mortgage calculator alberta canada,2124.0,en,"{'se_type': 'google', 'last_updated_time': '2025-07-22 08:13:46 +00:00', 'competition': 0.74, 'competition_level': 'HIGH', 'cpc': 0.76, 'search_volume': 6600, 'low_top_of_page_bid': 0.2, 'high_top_of_page_bid': 0.89, 'categories': [10003, 10016, 10139, 10746], 'monthly_searches': [{'year': 2025, 'month': 6, 'search_volume': 6600}, {'year': 2025, 'month': 5, 'search_volume': 6600}, {'year': 2025, 'month': 4, 'search_volume': 6600}, {'year': 2025, 'month': 3, 'search_volume': 6600}, {'year': 2025, 'month': 2, 'search_volume': 6600}, {'year': 2025, 'month': 1, 'search_volume': 8100}, {'year': 2024, 'month': 12, 'search_volume': 5400}, {'year': 2024, 'month': 11, 'search_volume': 5400}, {'year': 2024, 'month': 10, 'search_volume': 6600}, {'year': 2024, 'month': 9, 'search_volume': 6600}, {'year': 2024, 'month': 8, 'search_volume': 6600}, {'year': 2024, 'month': 7, 'search_volume': 6600}], 'search_volume_trend': {'monthly': 0, 'quarterly': 0, 'yearly': 0}}",,,,"{'se_type': 'google', 'core_keyword': 'mortgage calculator canada alberta', 'synonym_clustering_algorithm': 'text_processing', 'keyword_difficulty': 45, 'detected_language': 'en', 'is_another_language': False}",,"{'se_type': 'google', 'backlinks': 90846, 'dofollow': 48675.1, 'referring_pages': 48810.8, 'referring_domains': 45, 'referring_main_domains': 41.9, 'rank': 271.2, 'main_domain_rank': 492.1, 'last_updated_time': '2025-07-28 06:03:28 +00:00'}","{'se_type': 'google', 'main_intent': 'navigational', 'foreign_intent': ['informational'], 'last_updated_time': '2023-03-07 02:07:17 +00:00'}",6600.0,0.76,0.74,HIGH,"[{'year': 2025, 'month': 6, 'search_volume': 6600}, {'year': 2025, 'month': 5, 'search_volume': 6600}, {'year': 2025, 'month': 4, 'search_volume': 6600}, {'year': 2025, 'month': 3, 'search_volume': 6600}, {'year': 2025, 'month': 2, 'search_volume': 6600}, {'year': 2025, 'month': 1, 'search_volume': 8100}, {'year': 2024, 'month': 12, 'search_volume': 5400}, {'year': 2024, 'month': 11, 'search_volume': 5400}, {'year': 2024, 'month': 10, 'search_volume': 6600}, {'year': 2024, 'month': 9, 'search_volume': 6600}, {'year': 2024, 'month': 8, 'search_volume': 6600}, {'year': 2024, 'month': 7, 'search_volume': 6600}]",suggestions_v2_mortgage canada,mortgage canada,,,,,,,,,,,,,,,,,,,,,,,"[10003, 10016, 10139, 10746]",45.0,navigational,['informational'],2,calculator + mortgage calculator + calculator canada,Uncategorized,Medium,Phrase
